127.0.0.1 - - [20/Sep/2019:12:50:05 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18420
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18423
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18423
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93279
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3698
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18426
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:23 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18426
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18423
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18426
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18426
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18423
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18423
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18423
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18420
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:24 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:25 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:25 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:25 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:25 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:25 -0300] "GET /FazendoUtopia/pages/cadastros/unidademedida.xhtml HTTP/1.1" 200 18423
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:25 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Sep/2019:12:52:25 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
